line = five3onelxjninenine45, First digit = five, Last digit = 3, f = 5, l = 3
line = 5txpzlsixtwo41, First digit = 5, Last digit = six, f = 5, l = 6
line = 4nbkjmrt4nine, First digit = 4, Last digit = 4, f = 4, l = 4
line = hnmvzknine1, First digit = nine, Last digit = nine, f = 9, l = 9
line = 6525szrz, First digit = 6, Last digit = 5, f = 6, l = 5
line = 1sixsixkxjxcbt1, First digit = 1, Last digit = six, f = 1, l = 6
line = 5vlj26mfxdjzb, First digit = 5, Last digit = 2, f = 5, l = 2
line = 9xzkgd6eight9thjcjrsxggvkf2, First digit = 9, Last digit = 6, f = 9, l = 6
line = 2tlvqgrkc42, First digit = 2, Last digit = 4, f = 2, l = 4
line = one4five, First digit = one, Last digit = 4, f = 1, l = 4
line = 5six439eightsevenkkvng, First digit = 5, Last digit = six, f = 5, l = 6
line = hvmmqonethreezhvmzltf5seven9ttdx, First digit = one, Last digit = one, f = 1, l = 1
line = 6eight6, First digit = 6, Last digit = eight, f = 6, l = 8
line = hzpqtnjxz4cbkhqphlfpfourqflfjtg4mrztjlhbmmnine, First digit = 4, Last digit = 4, f = 4, l = 4
line = sixsixdxcvbmr8bpbvfour6seven, First digit = six, Last digit = 8, f = 6, l = 8
line = nine3eight, First digit = nine, Last digit = 3, f = 9, l = 3
line = 8nqmbzvgpslsevenbfcrgqbtrzk, First digit = 8, Last digit = seven, f = 8, l = 7
line = two7six2fourfourscrnine, First digit = two, Last digit = 7, f = 2, l = 7
line = 7dr3hhqnvrdsljqrl, First digit = 7, Last digit = 3, f = 7, l = 3
line = 529dssfsfknzrffqsixtwo, First digit = 5, Last digit = 2, f = 5, l = 2
line = 8sixsmcbslxvlxrkmhxhvgvvrgsixpgthrxlhrmfour, First digit = 8, Last digit = six, f = 8, l = 6
line = svqsjtlbdbkgjqbcvxhl4five, First digit = 4, Last digit = 4, f = 4, l = 4
line = x8sevensix65eight, First digit = 8, Last digit = 8, f = 8, l = 8
line = fsonemmszxjjx6nineteightvtzkhccgrm, First digit = one, Last digit = one, f = 1, l = 1
line = 6sevenseven38cmskxvdkqlxktsszfnine, First digit = 6, Last digit = seven, f = 6, l = 7
line = 75eightfjbqhksix3onextmlrftdxm9, First digit = 7, Last digit = 5, f = 7, l = 5
line = 5hmngnfrglninenthconesixnine7, First digit = 5, Last digit = nine, f = 5, l = 9
line = hgk4sevensixnineoneszsnhthree9, First digit = 4, Last digit = 4, f = 4, l = 4
line = one98nxtghg9, First digit = one, Last digit = 9, f = 1, l = 9
line = 1sevenkqqckgxdnfour, First digit = 1, Last digit = seven, f = 1, l = 7
line = 16three2onekjfcmfdfvhgmgninetwo, First digit = 1, Last digit = 6, f = 1, l = 6
line = 1eight3fivesix87five, First digit = 1, Last digit = eight, f = 1, l = 8
line = 2fourlhtncqs8gqssxlxczfive, First digit = 2, Last digit = four, f = 2, l = 4
line = ninejvzjqppsix21, First digit = nine, Last digit = six, f = 9, l = 6
line = mkrd7249eight1pm, First digit = 7, Last digit = 7, f = 7, l = 7
line = ppcxsevensevenxbjbvvzcd8one3ms, First digit = seven, Last digit = seven, f = 7, l = 7
line = eightgnnlfive3ff49seven, First digit = eight, Last digit = five, f = 8, l = 5
line = fngf62fourfivetwothree, First digit = 6, Last digit = 6, f = 6, l = 6
line = onefour42rrzntqts, First digit = one, Last digit = four, f = 1, l = 4
line = 41dzvh1, First digit = 4, Last digit = 1, f = 4, l = 1
line = 3onefqltjzdrfourcpkfhceightwomc, First digit = 3, Last digit = one, f = 3, l = 1
line = 7ninezcqcmqsltfxltnpsgghzone3four, First digit = 7, Last digit = nine, f = 7, l = 9
line = hrtwone3six4pjbs4tfvdsjqdtfglseven, First digit = two, Last digit = two, f = 2, l = 2
line = 6lpxrrhvdslxgpjblcmgsgbdpdkfmzkr, First digit = 6, Last digit = , f = 6, l = 0
line = llnshf1, First digit = 1, Last digit = , f = 1, l = 0
line = seven9rvjqdhbfour, First digit = seven, Last digit = 9, f = 7, l = 9
line = 1fivezb4six, First digit = 1, Last digit = five, f = 1, l = 5
line = 2282mchsix2onelz, First digit = 2, Last digit = 8, f = 2, l = 8
line = 86eightwonmn, First digit = 8, Last digit = 6, f = 8, l = 6
line = sevenlcznjrmcbzlpjvfivefhtfvl2vvsrbbcktnj, First digit = seven, Last digit = five, f = 7, l = 5
line = 2one819vsxclfour, First digit = 2, Last digit = one, f = 2, l = 1
line = dlm2nine, First digit = 2, Last digit = 2, f = 2, l = 2
line = sxbdtwo9threetwo6, First digit = two, Last digit = two, f = 2, l = 2
line = 4jfbc5rdzgsblrcgmqdh, First digit = 4, Last digit = 5, f = 4, l = 5
line = nine7four28seven, First digit = nine, Last digit = 7, f = 9, l = 7
line = two1sixmjmxgjq412five, First digit = two, Last digit = 1, f = 2, l = 1
line = nine3hctlqv, First digit = nine, Last digit = 3, f = 9, l = 3
line = twofour8eighttwo86two1, First digit = two, Last digit = four, f = 2, l = 4
line = three4seveneightl, First digit = three, Last digit = 4, f = 3, l = 4
line = zx89btcqrsvpqzseven, First digit = 8, Last digit = 8, f = 8, l = 8
line = 1chkglfseven, First digit = 1, Last digit = seven, f = 1, l = 7
line = 4999xpmmeight3gxxkl, First digit = 4, Last digit = 9, f = 4, l = 9
line = four88ninehhnbssxhbnseven, First digit = four, Last digit = 8, f = 4, l = 8
line = hsfvzbbxjlsrmtngrxxsevensix3, First digit = seven, Last digit = seven, f = 7, l = 7
line = qccnqvfnkkkvsixktsixnine1twoneq, First digit = six, Last digit = six, f = 6, l = 6
line = 2sevengsplvndctjgntsix3seven, First digit = 2, Last digit = seven, f = 2, l = 7
line = eight782two428four, First digit = eight, Last digit = 7, f = 8, l = 7
line = five37shzmklkb4nhddk8, First digit = five, Last digit = 3, f = 5, l = 3
line = eightthree6qskmkzs, First digit = eight, Last digit = 6, f = 8, l = 6
line = cmkvmr3srbsnq7onefourbfsrbjvr, First digit = 3, Last digit = 3, f = 3, l = 3
line = t3mtgjq4stm84, First digit = 3, Last digit = 3, f = 3, l = 3
line = fiveseven2grlmfhmfg8bsb, First digit = five, Last digit = seven, f = 5, l = 7
line = 9bgbplvtzstdsevenonedrbxhftrxgmqftjmdrr, First digit = 9, Last digit = seven, f = 9, l = 7
line = sixfivezptk6, First digit = six, Last digit = five, f = 6, l = 5
line = 8mftfiveninedgfmtwo9three9, First digit = 8, Last digit = five, f = 8, l = 5
line = pscstrfnrpllhone5fivefourtwo, First digit = one, Last digit = one, f = 1, l = 1
line = five33, First digit = five, Last digit = 3, f = 5, l = 3
line = 4threegfs, First digit = 4, Last digit = three, f = 4, l = 3
line = 6sixthreebvq5, First digit = 6, Last digit = six, f = 6, l = 6
line = tsjvdsljzfgfive6threemqjfhrsqkgfznbt, First digit = five, Last digit = five, f = 5, l = 5
line = six8five, First digit = six, Last digit = 8, f = 6, l = 8
line = twoznvvqgmd5jsxltq, First digit = two, Last digit = 5, f = 2, l = 5
line = zvh9one, First digit = 9, Last digit = 9, f = 9, l = 9
line = 4threesevenfivesix2hmm, First digit = 4, Last digit = three, f = 4, l = 3
line = l8ccxxhqqjb1qltqxht9qknltdbmdbmone, First digit = 8, Last digit = 8, f = 8, l = 8
line = psevenfournine7bzphqxtfmfhsbtxxldhcqj, First digit = seven, Last digit = seven, f = 7, l = 7
line = 9bzxmpnlqmt8, First digit = 9, Last digit = 8, f = 9, l = 8
line = two73nineeighteight, First digit = two, Last digit = 7, f = 2, l = 7
line = 5sixseven, First digit = 5, Last digit = six, f = 5, l = 6
line = eightthree98112, First digit = eight, Last digit = 9, f = 8, l = 9
line = eight4zbnpgjqlgntpl, First digit = eight, Last digit = 4, f = 8, l = 4
line = fourhg8twoone1xhllbxfrtwoneq, First digit = four, Last digit = 8, f = 4, l = 8
line = jzonevsfhdcxzkmcxfhngleight2four, First digit = one, Last digit = one, f = 1, l = 1
line = 6two4ndnscxkqlzszlkslzk28, First digit = 6, Last digit = two, f = 6, l = 2
line = 1foursix25695cp, First digit = 1, Last digit = four, f = 1, l = 4
line = 9hgvmtfiveeightdm, First digit = 9, Last digit = five, f = 9, l = 5
line = 7162nine, First digit = 7, Last digit = 1, f = 7, l = 1
line = seven7tqssone, First digit = seven, Last digit = 7, f = 7, l = 7
line = 234cgsdfq7, First digit = 2, Last digit = 3, f = 2, l = 3
line = 9eightvpvvztrsrbtvgkzg, First digit = 9, Last digit = eight, f = 9, l = 8
line = two882nine6eightsixz, First digit = two, Last digit = 8, f = 2, l = 8
line = 9nineqqltckg, First digit = 9, Last digit = nine, f = 9, l = 9
line = lgtlzthree21jrx, First digit = three, Last digit = three, f = 3, l = 3
line = 42seven, First digit = 4, Last digit = 2, f = 4, l = 2
line = 6pl3ckfqjchmnplblhkrd36jbflxf, First digit = 6, Last digit = 3, f = 6, l = 3
line = fpmkbm7three, First digit = 7, Last digit = 7, f = 7, l = 7
line = 5twoonegccshhdrnfour1, First digit = 5, Last digit = two, f = 5, l = 2
line = onexbeightsdoneseven2four, First digit = one, Last digit = eight, f = 1, l = 8
line = three5sixxj, First digit = three, Last digit = 5, f = 3, l = 5
line = eightxqzntcpscxbqrsix8three, First digit = eight, Last digit = six, f = 8, l = 6
line = eightfourthree9eightvvhhlfourp, First digit = eight, Last digit = four, f = 8, l = 4
line = seven67vdktlg51, First digit = seven, Last digit = 6, f = 7, l = 6
line = xbgjvvonesbtthfkdvntwo35, First digit = one, Last digit = one, f = 1, l = 1
line = fltjrv152sixvmtwofour, First digit = 1, Last digit = 1, f = 1, l = 1
line = fourfour6zkjdlrckdbfxthreefive, First digit = four, Last digit = 6, f = 4, l = 6
line = kkrllbsnglkvxxzjmqvdgsfpzx18foureightseveneight, First digit = 1, Last digit = 1, f = 1, l = 1
line = xvmjqznggz7pgrxcfcqj, First digit = 7, Last digit = 7, f = 7, l = 7
line = 5two9eight, First digit = 5, Last digit = two, f = 5, l = 2
line = 2rbninevmltplhj6nine, First digit = 2, Last digit = nine, f = 2, l = 9
line = 4snzlftzltjfbxdq, First digit = 4, Last digit = , f = 4, l = 0
line = 5gcpdxdjsftntzgbfnkbsjone, First digit = 5, Last digit = one, f = 5, l = 1
line = onetwoninenine58onekmtdfn6, First digit = one, Last digit = two, f = 1, l = 2
line = four68four8two5, First digit = four, Last digit = 6, f = 4, l = 6
line = lczh9, First digit = 9, Last digit = , f = 9, l = 0
line = sevensevenfivefour141j, First digit = seven, Last digit = five, f = 7, l = 5
line = bmnrnlvfpvjsfourn1one3, First digit = four, Last digit = four, f = 4, l = 4
line = 3nineone7fourfbfmjmpcpv6kgvzndbgpn, First digit = 3, Last digit = nine, f = 3, l = 9
line = 633sevenczmjrstsp195, First digit = 6, Last digit = 3, f = 6, l = 3
line = sixvrcjmsveight3, First digit = six, Last digit = eight, f = 6, l = 8
line = cgfhxt4, First digit = 4, Last digit = , f = 4, l = 0
line = 4lqvqgsf37nrszkrhtjg91djsxdlrksk, First digit = 4, Last digit = 3, f = 4, l = 3
line = ninefivefive11four1eight, First digit = nine, Last digit = five, f = 9, l = 5
line = 76twovxfqrdksoneeightpgf4, First digit = 7, Last digit = 6, f = 7, l = 6
line = vhn9xnlhd3fivesix, First digit = 9, Last digit = 9, f = 9, l = 9
line = 3sevenzpqvxhtsix, First digit = 3, Last digit = seven, f = 3, l = 7
line = dkkeightwosixcdngxqddtj4, First digit = eight, Last digit = eight, f = 8, l = 8
line = nineqqsdkmkhhsixpd4, First digit = nine, Last digit = six, f = 9, l = 6
line = 6five54, First digit = 6, Last digit = five, f = 6, l = 5
line = tlzst3sevenvdthkfn3, First digit = 3, Last digit = 3, f = 3, l = 3
line = nineone2, First digit = nine, Last digit = one, f = 9, l = 1
line = fcxeightwoeighthxpgfkfourone3, First digit = eight, Last digit = eight, f = 8, l = 8
line = 9llcdpmninepvcbdonexfxgdfchtkgnmnljpnfb, First digit = 9, Last digit = nine, f = 9, l = 9
line = qrjdrbrrxrldbsq8threepbsdpbbtps9four, First digit = 8, Last digit = 8, f = 8, l = 8
line = 299eightone, First digit = 2, Last digit = 9, f = 2, l = 9
line = fjzoneight99, First digit = one, Last digit = one, f = 1, l = 1
line = zz8three9, First digit = 8, Last digit = 8, f = 8, l = 8
line = eight4mfzshls167eight, First digit = eight, Last digit = 4, f = 8, l = 4
line = five1kmgmnpfhsp42, First digit = five, Last digit = 1, f = 5, l = 1
line = 6one67one, First digit = 6, Last digit = one, f = 6, l = 1
line = fivefncmv3dgsx8lmssvqfthk6seven, First digit = five, Last digit = 3, f = 5, l = 3
line = vlsbqreightseven77onermkfdsvjxkmn, First digit = eight, Last digit = eight, f = 8, l = 8
line = 86hxzstkkb, First digit = 8, Last digit = 6, f = 8, l = 6
line = 79mnxgbnl, First digit = 7, Last digit = 9, f = 7, l = 9
line = 15nineone9ninesevenddrbrxj, First digit = 1, Last digit = 5, f = 1, l = 5
line = 21rkt24dfour8four, First digit = 2, Last digit = 1, f = 2, l = 1
line = blxv68threeseven, First digit = 6, Last digit = 6, f = 6, l = 6
line = rbvkltwo3gpmmfmnpone9, First digit = two, Last digit = two, f = 2, l = 2
line = hrqss7, First digit = 7, Last digit = , f = 7, l = 0
line = six1threethree1, First digit = six, Last digit = 1, f = 6, l = 1
line = frfctnmmhrmfr8, First digit = 8, Last digit = , f = 8, l = 0
line = bfzsvmcxhbthreefivezlb981, First digit = three, Last digit = three, f = 3, l = 3
line = phrlbcbd6vrf8gkrtnlprn, First digit = 6, Last digit = 6, f = 6, l = 6
line = txbxjb47svrfd4lrdkfbknb2gj, First digit = 4, Last digit = 4, f = 4, l = 4
line = fivefour6dnjqbmznkssevenone, First digit = five, Last digit = 6, f = 5, l = 6
line = 32eighttwonedn, First digit = 3, Last digit = 2, f = 3, l = 2
line = gxzqseventwo4eight, First digit = seven, Last digit = seven, f = 7, l = 7
line = eighttwo53ktqxjfjfive3, First digit = eight, Last digit = 5, f = 8, l = 5
line = 64four3gjjtjq, First digit = 6, Last digit = 4, f = 6, l = 4
line = tmrv9sevenfive, First digit = 9, Last digit = 9, f = 9, l = 9
line = 9seven81, First digit = 9, Last digit = seven, f = 9, l = 7
line = fivefourktwozzszqveightseven7, First digit = five, Last digit = two, f = 5, l = 2
line = three8bninetwofivednine, First digit = three, Last digit = 8, f = 3, l = 8
line = nineone7qzdcglxjtkchjfpqrdfive6nine, First digit = nine, Last digit = one, f = 9, l = 1
line = 4hjsqzppdqseightblhpdxgjmfmrsrz, First digit = 4, Last digit = eight, f = 4, l = 8
line = fouronefour5fourjxls3, First digit = four, Last digit = four, f = 4, l = 4
line = sixsevensevenoneeightgssdqpgfrx6rpkdljlsjs, First digit = six, Last digit = seven, f = 6, l = 7
line = two4cpvhzxnbqmk4, First digit = two, Last digit = 4, f = 2, l = 4
line = 98czdfivecpmvztnc87, First digit = 9, Last digit = 8, f = 9, l = 8
line = 5chczkvdd, First digit = 5, Last digit = , f = 5, l = 0
line = dhndkdsbf7qp1, First digit = 7, Last digit = 7, f = 7, l = 7
line = tdbpx1qbf, First digit = 1, Last digit = 1, f = 1, l = 1
line = 358tbjnc, First digit = 3, Last digit = 5, f = 3, l = 5
line = two6264six, First digit = two, Last digit = 6, f = 2, l = 6
line = 55snf, First digit = 5, Last digit = , f = 5, l = 0
line = eight7kpgsjrntszcmvrjqcs2two4four, First digit = eight, Last digit = 7, f = 8, l = 7
line = cpjxfgxdngjrnpbkfskpstm5nineseven5nine, First digit = 5, Last digit = 5, f = 5, l = 5
line = one2jxrsxlll1xpkeightztcfnsqqr, First digit = one, Last digit = 2, f = 1, l = 2
line = 2sevensevenzdb, First digit = 2, Last digit = seven, f = 2, l = 7
line = trpcnb536fourninethree, First digit = 5, Last digit = 5, f = 5, l = 5
line = bkhoneightblkqzbblmv8rkcg, First digit = one, Last digit = one, f = 1, l = 1
line = zqmmzmsqjghtf915, First digit = 9, Last digit = 9, f = 9, l = 9
line = 3zxdzklnlbdvcqspm, First digit = 3, Last digit = , f = 3, l = 0
line = sevensixtwo8rsvdmc, First digit = seven, Last digit = two, f = 7, l = 2
line = 8two8, First digit = 8, Last digit = two, f = 8, l = 2
line = eightoneqlcrrlq4four, First digit = eight, Last digit = one, f = 8, l = 1
line = hlfhtwovvmzkzn5xklvc9, First digit = two, Last digit = two, f = 2, l = 2
line = fournncdgvxk6crvsqjcj58, First digit = four, Last digit = 6, f = 4, l = 6
line = 7941sevenfour, First digit = 7, Last digit = 9, f = 7, l = 9
line = mshlfglzlvcpcn2ninefiveninemlzkxspxsz2, First digit = 2, Last digit = 2, f = 2, l = 2
line = 46sixone4eightrcmxrmhnmj6pmj, First digit = 4, Last digit = 6, f = 4, l = 6
line = jblfkrc1threefivefourbxd3, First digit = 1, Last digit = 1, f = 1, l = 1
line = prhvcsmvjx85one, First digit = 8, Last digit = 8, f = 8, l = 8
line = sstdseven3twobrfour3zthzhtkmc2, First digit = seven, Last digit = seven, f = 7, l = 7
line = 9threeqdnninesqvsjdch55zzjrntdv, First digit = 9, Last digit = three, f = 9, l = 3
line = fourbljt53gfkjkjtcpnlxcb, First digit = four, Last digit = 5, f = 4, l = 5
line = qrtlkzcthreefnxlcnfsqqvhsix62one3, First digit = three, Last digit = three, f = 3, l = 3
line = knb7three7srrqbfhthreefive5, First digit = 7, Last digit = 7, f = 7, l = 7
line = sevengcf128btrnrtgbmj3mtzv, First digit = seven, Last digit = 1, f = 7, l = 1
line = brzvbdtwo63three4pjcjmzgfk8, First digit = two, Last digit = two, f = 2, l = 2
line = 6klnsftm, First digit = 6, Last digit = , f = 6, l = 0
line = eight6sevensevensixfhgnjzgrcqdseven, First digit = eight, Last digit = 6, f = 8, l = 6
line = six2ckhhflcdjkrc2sdtgkzx4four, First digit = six, Last digit = 2, f = 6, l = 2
line = six49, First digit = six, Last digit = 4, f = 6, l = 4
line = 56eight, First digit = 5, Last digit = 6, f = 5, l = 6
line = gfivevqqkz7, First digit = five, Last digit = five, f = 5, l = 5
line = twoseven1kfzjcxjj, First digit = two, Last digit = seven, f = 2, l = 7
line = 5xsbckzsevenfdcd6ffh, First digit = 5, Last digit = seven, f = 5, l = 7
line = five6fivezpdm19, First digit = five, Last digit = 6, f = 5, l = 6
line = eightsix1zlrvvtflhqbmgnjnthcdbjthree, First digit = eight, Last digit = six, f = 8, l = 6
line = 9lbmb1gflnxtnine, First digit = 9, Last digit = 1, f = 9, l = 1
line = 1eightxdrp566ljjtmbpng, First digit = 1, Last digit = eight, f = 1, l = 8
line = twoqbfl5four67three9, First digit = two, Last digit = 5, f = 2, l = 5
line = six3sevenseven13, First digit = six, Last digit = 3, f = 6, l = 3
line = seven4onenine4ccnmtbdtj, First digit = seven, Last digit = 4, f = 7, l = 4
line = hxzhqqtqdssevenfivecjfhlxmrbk2rdxsix8, First digit = seven, Last digit = seven, f = 7, l = 7
line = three6brccmgbkdxgj7, First digit = three, Last digit = 6, f = 3, l = 6
line = 961, First digit = 9, Last digit = 6, f = 9, l = 6
line = 1ninesevensix6sixonetwonine, First digit = 1, Last digit = nine, f = 1, l = 9
line = 4hlvbbs5pnjxbpd5xpvxfmn, First digit = 4, Last digit = 5, f = 4, l = 5
line = kkvjtnjk3nineseventwotrjntwo, First digit = 3, Last digit = 3, f = 3, l = 3
line = 669zgrhxlrgtpeighttfrrqmhthree7eight, First digit = 6, Last digit = 9, f = 6, l = 9
line = pltqnfslttlhfour7, First digit = four, Last digit = four, f = 4, l = 4
line = 31grzj, First digit = 3, Last digit = 1, f = 3, l = 1
line = qkqtwoneeighttgp8944cpxxksr3, First digit = two, Last digit = two, f = 2, l = 2
line = onelpvxtcj35zrllxzt, First digit = one, Last digit = 3, f = 1, l = 3
line = fcccc7, First digit = 7, Last digit = , f = 7, l = 0
line = 3eight1, First digit = 3, Last digit = eight, f = 3, l = 8
line = 4five3ggdpskqjfrbngmq7nine, First digit = 4, Last digit = five, f = 4, l = 5
line = 8cnbxpfpm, First digit = 8, Last digit = , f = 8, l = 0
line = frmvkjxxggbssxlftzninelvvtvscl77ninefxdtrpvjfv, First digit = nine, Last digit = nine, f = 9, l = 9
line = rxkcvjbvhk84, First digit = 8, Last digit = 8, f = 8, l = 8
line = 6twonegz, First digit = 6, Last digit = two, f = 6, l = 2
line = sixpkklnr4vvmzrld4gxrkxlbhjpsmgt, First digit = six, Last digit = 4, f = 6, l = 4
line = 533x2ninedgrtlznp7nine, First digit = 5, Last digit = 3, f = 5, l = 3
line = threeeightsevengpvnine5368, First digit = three, Last digit = seven, f = 3, l = 7
line = 99eightsfvfvsvzn, First digit = 9, Last digit = eight, f = 9, l = 8
line = 655threeseven56nineseven, First digit = 6, Last digit = 5, f = 6, l = 5
line = 583gmtktthreeckfc, First digit = 5, Last digit = 8, f = 5, l = 8
line = fivetwo7threevktxxjsrkpseven6, First digit = five, Last digit = two, f = 5, l = 2
line = four9tbnqhjlbmqnjq4gpzpvjtl2, First digit = four, Last digit = 9, f = 4, l = 9
line = fourtfjhxrkfour37seventwo4, First digit = four, Last digit = four, f = 4, l = 4
line = threesmpcr5, First digit = three, Last digit = 5, f = 3, l = 5
line = 7bbcsdcsxttxkrvhmkkzqjgvpzblcsjltsix5, First digit = 7, Last digit = six, f = 7, l = 6
line = rtqoneighthxpg5tb4, First digit = one, Last digit = one, f = 1, l = 1
line = 6eighteightfourrxlkqkxbxseven9rnggqbxqheight, First digit = 6, Last digit = eight, f = 6, l = 8
line = 3b7vtwosixl9four, First digit = 3, Last digit = 7, f = 3, l = 7
line = nhjphtdskrzqjmkk7eightthree1, First digit = 7, Last digit = 7, f = 7, l = 7
line = nrlthreefourone37, First digit = three, Last digit = three, f = 3, l = 3
line = 7oneighttcm, First digit = 7, Last digit = one, f = 7, l = 1
line = b54732, First digit = 5, Last digit = 5, f = 5, l = 5
line = vmvltdtxhpninetgvmcmbhddtkpzjvrkvbhrtwo4pdqbnc, First digit = nine, Last digit = nine, f = 9, l = 9
line = 8bkhgt3bqxthlxcmdpdcnvkjzrrpmkpnfivefourthree, First digit = 8, Last digit = 3, f = 8, l = 3
line = 7nine61vsfkm84vvqbmhltdj, First digit = 7, Last digit = nine, f = 7, l = 9
line = 6476five, First digit = 6, Last digit = 4, f = 6, l = 4
line = rmnoneightthree9one5vjbfnnnk, First digit = one, Last digit = one, f = 1, l = 1
line = svqjtjzntq4, First digit = 4, Last digit = , f = 4, l = 0
line = tcxkkxxvr78four6seven46, First digit = 7, Last digit = 7, f = 7, l = 7
line = 7tr, First digit = 7, Last digit = , f = 7, l = 0
line = twosntlone2two, First digit = two, Last digit = one, f = 2, l = 1
line = sktgjbzqthreeseven6mrv3, First digit = three, Last digit = three, f = 3, l = 3
line = eightxxpctkf94six2one, First digit = eight, Last digit = 9, f = 8, l = 9
line = fivegjfftq3fxnclvrl9rxhjkpceight, First digit = five, Last digit = 3, f = 5, l = 3
line = 4qpvtrjhxxqzbjbbrqqcdklhgqmlmmrthree2ltzshfxztsx, First digit = 4, Last digit = three, f = 4, l = 3
line = 47, First digit = 4, Last digit = 7, f = 4, l = 7
line = 5twoninehclgxj1rzgsqtsq, First digit = 5, Last digit = two, f = 5, l = 2
line = 634kmr151eightbrt, First digit = 6, Last digit = 3, f = 6, l = 3
line = smtwofourone26one, First digit = two, Last digit = two, f = 2, l = 2
line = 2threecdpq32two4dzrzsr, First digit = 2, Last digit = three, f = 2, l = 3
line = 1eightvmhzchc3vhnnfivefivecf, First digit = 1, Last digit = eight, f = 1, l = 8
line = fstttl58fourqgkbjveight, First digit = 5, Last digit = 5, f = 5, l = 5
line = 455one, First digit = 4, Last digit = 5, f = 4, l = 5
line = vkhg7rszxzmqnine749, First digit = 7, Last digit = 7, f = 7, l = 7
line = bvtwone8vninezhkkbvpscqfive6jczrlrgcn, First digit = two, Last digit = two, f = 2, l = 2
line = 247, First digit = 2, Last digit = 4, f = 2, l = 4
line = ninemgxqhtwosix756, First digit = nine, Last digit = two, f = 9, l = 2
line = fiveseven4kthzq, First digit = five, Last digit = seven, f = 5, l = 7
line = eighteight9one51fivebkgpzl, First digit = eight, Last digit = 9, f = 8, l = 9
line = sevenmjqtvth8five, First digit = seven, Last digit = 8, f = 7, l = 8
line = ndqsfffkfmjjgzfdjcpgj4sixfr3threesjqbqlzng, First digit = 4, Last digit = 4, f = 4, l = 4
line = 8598seven, First digit = 8, Last digit = 5, f = 8, l = 5
line = eightone4sevensnine, First digit = eight, Last digit = one, f = 8, l = 1
line = qvcgzkcm3, First digit = 3, Last digit = , f = 3, l = 0
line = hskhmfndv45, First digit = 4, Last digit = 4, f = 4, l = 4
line = seven3zpvgg9, First digit = seven, Last digit = 3, f = 7, l = 3
line = bqqqcjkgtveight74, First digit = eight, Last digit = eight, f = 8, l = 8
line = five84sbfkgmldpknfdqjqrtwotwo, First digit = five, Last digit = 8, f = 5, l = 8
line = 9eighthv1ninemvrxdtcdlvszm, First digit = 9, Last digit = eight, f = 9, l = 8
line = qfsbeightsix9djl73, First digit = eight, Last digit = eight, f = 8, l = 8
line = pbqt8hsdzxkxv, First digit = 8, Last digit = 8, f = 8, l = 8
line = 1fgfbxcjt6lqd618, First digit = 1, Last digit = 6, f = 1, l = 6
line = 2rtlcqnk, First digit = 2, Last digit = , f = 2, l = 0
line = one1ninefive, First digit = one, Last digit = 1, f = 1, l = 1
line = xjqmgfhndxtsixsevenm3991, First digit = six, Last digit = six, f = 6, l = 6
line = five1oneonetwo, First digit = five, Last digit = 1, f = 5, l = 1
line = eight32threekddxppk, First digit = eight, Last digit = 3, f = 8, l = 3
